018-04-26 16:08:16,E1
018-04-26 16:08:18,E2
018-04-26 16:08:18,E3
018-04-26 16:08:19,E4
018-04-26 16:08:19,E3
018-04-26 16:08:19,E5
018-04-26 16:08:19,E6
018-04-26 16:08:20,E3
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E0
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E8
018-04-26 16:08:21,E0
018-04-26 16:08:21,E0
018-04-26 16:08:21,E0
018-04-26 16:08:21,E0
018-04-26 16:08:21,E9
018-04-26 16:08:21,E10
018-04-26 16:08:21,E11
018-04-26 16:08:21,E12
018-04-26 16:08:21,E13
018-04-26 16:08:21,E14
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E15
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:23,E0
018-04-26 16:08:23,E0
018-04-26 16:08:24,E0
018-04-26 16:08:24,E16
018-04-26 16:08:24,E0
018-04-26 16:08:24,E0
018-04-26 16:08:24,E0
018-04-26 16:08:24,E0
018-04-26 16:08:24,E17
018-04-26 16:08:24,E18
018-04-26 16:08:24,E19
018-04-26 16:08:24,E0
018-04-26 16:08:24,E20
018-04-26 16:08:24,E20
018-04-26 16:08:24,E21
018-04-26 16:08:24,E22
018-04-26 16:08:24,E13
018-04-26 16:08:24,E23
018-04-26 16:08:24,E13
018-04-26 16:08:25,E24
018-04-26 16:08:25,E24
018-04-26 16:08:25,E24
018-04-26 16:08:25,E24
018-04-26 16:08:25,E24
018-04-26 16:08:25,E25
018-04-26 16:08:25,E25
018-04-26 16:08:25,E25
018-04-26 16:08:25,E25
018-04-26 16:08:25,E25
018-04-26 16:08:25,E20
018-04-26 16:08:25,E20
018-04-26 16:08:25,E26
018-04-26 16:08:25,E27
018-04-26 16:08:26,E28
018-04-26 16:08:26,E29
018-04-26 16:08:26,E30
018-04-26 16:08:26,E7
018-04-26 16:08:27,E31
018-04-26 16:08:27,E32
018-04-26 16:08:27,E29
018-04-26 16:08:27,E30
018-04-26 16:08:27,E27
018-04-26 16:08:27,E33
018-04-26 16:08:27,E34
018-04-26 16:08:27,E35
018-04-26 16:08:27,E36
018-04-26 16:08:27,E37
018-04-26 16:08:27,E38
018-04-26 16:08:27,E25
018-04-26 16:08:27,E39
018-04-26 16:08:27,E40
018-04-26 16:08:27,E41
018-04-26 16:08:27,E42
018-04-26 16:08:27,E25
018-04-26 16:08:27,E43
018-04-26 16:08:27,E24
018-04-26 16:08:28,E28
018-04-26 16:08:28,E31
018-04-26 16:08:28,E38
018-04-26 16:08:28,E32
018-04-26 16:08:28,E29
018-04-26 16:08:28,E30
018-04-26 16:08:28,E27
018-04-26 16:08:28,E25
018-04-26 16:08:28,E39
018-04-26 16:08:28,E40
018-04-26 16:08:28,E41
018-04-26 16:08:28,E42
018-04-26 16:08:28,E25
018-04-26 16:08:28,E43
018-04-26 16:08:28,E24
018-04-26 16:08:29,E28
018-04-26 16:08:29,E31
018-04-26 16:08:29,E38
018-04-26 16:08:29,E25
018-04-26 16:08:29,E32
018-04-26 16:08:29,E29
018-04-26 16:08:29,E30
018-04-26 16:08:29,E27
018-04-26 16:08:29,E39
018-04-26 16:08:29,E40
018-04-26 16:08:29,E41
018-04-26 16:08:29,E42
018-04-26 16:08:29,E25
018-04-26 16:08:29,E43
018-04-26 16:08:29,E24
018-04-26 16:08:30,E28
018-04-26 16:08:30,E31
018-04-26 16:08:30,E38
