018-04-26 16:08:16,E1
018-04-26 16:08:18,E2
018-04-26 16:08:18,E3
018-04-26 16:08:19,E4
018-04-26 16:08:19,E3
018-04-26 16:08:19,E5
018-04-26 16:08:19,E6
018-04-26 16:08:20,E3
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E7
018-04-26 16:08:20,E8
018-04-26 16:08:20,E8
018-04-26 16:08:20,E8
018-04-26 16:08:20,E9
018-04-26 16:08:21,E7
018-04-26 16:08:21,E10
018-04-26 16:08:21,E11
018-04-26 16:08:21,E12
018-04-26 16:08:21,E13
018-04-26 16:08:21,E14
018-04-26 16:08:21,E15
018-04-26 16:08:21,E16
018-04-26 16:08:21,E17
018-04-26 16:08:21,E18
018-04-26 16:08:22,E19
018-04-26 16:08:22,E20
018-04-26 16:08:22,E21
018-04-26 16:08:22,E22
018-04-26 16:08:22,E23
018-04-26 16:08:22,E23
018-04-26 16:08:22,E0
018-04-26 16:08:22,E24
018-04-26 16:08:22,E25
018-04-26 16:08:22,E26
018-04-26 16:08:22,E27
018-04-26 16:08:22,E27
018-04-26 16:08:22,E28
018-04-26 16:08:22,E28
018-04-26 16:08:22,E29
018-04-26 16:08:22,E0
018-04-26 16:08:22,E0
018-04-26 16:08:23,E0
018-04-26 16:08:23,E30
018-04-26 16:08:24,E31
018-04-26 16:08:24,E32
018-04-26 16:08:24,E19
018-04-26 16:08:24,E20
018-04-26 16:08:24,E23
018-04-26 16:08:24,E23
018-04-26 16:08:24,E33
018-04-26 16:08:24,E34
018-04-26 16:08:24,E35
018-04-26 16:08:24,E36
018-04-26 16:08:24,E37
018-04-26 16:08:24,E37
018-04-26 16:08:24,E38
018-04-26 16:08:24,E39
018-04-26 16:08:24,E17
018-04-26 16:08:24,E40
018-04-26 16:08:24,E17
018-04-26 16:08:25,E41
018-04-26 16:08:25,E41
018-04-26 16:08:25,E41
018-04-26 16:08:25,E41
018-04-26 16:08:25,E41
018-04-26 16:08:25,E42
018-04-26 16:08:25,E42
018-04-26 16:08:25,E42
018-04-26 16:08:25,E42
018-04-26 16:08:25,E42
018-04-26 16:08:25,E37
018-04-26 16:08:25,E37
018-04-26 16:08:25,E43
018-04-26 16:08:25,E44
018-04-26 16:08:26,E45
018-04-26 16:08:26,E46
018-04-26 16:08:26,E47
018-04-26 16:08:26,E8
018-04-26 16:08:27,E48
018-04-26 16:08:27,E49
018-04-26 16:08:27,E46
018-04-26 16:08:27,E47
018-04-26 16:08:27,E44
018-04-26 16:08:27,E50
018-04-26 16:08:27,E51
018-04-26 16:08:27,E52
018-04-26 16:08:27,E53
018-04-26 16:08:27,E54
018-04-26 16:08:27,E55
018-04-26 16:08:27,E42
018-04-26 16:08:27,E56
018-04-26 16:08:27,E57
018-04-26 16:08:27,E58
018-04-26 16:08:27,E59
018-04-26 16:08:27,E42
018-04-26 16:08:27,E60
018-04-26 16:08:27,E41
018-04-26 16:08:28,E45
018-04-26 16:08:28,E48
018-04-26 16:08:28,E55
018-04-26 16:08:28,E49
018-04-26 16:08:28,E46
018-04-26 16:08:28,E47
018-04-26 16:08:28,E44
018-04-26 16:08:28,E42
018-04-26 16:08:28,E56
018-04-26 16:08:28,E57
018-04-26 16:08:28,E58
018-04-26 16:08:28,E59
018-04-26 16:08:28,E42
018-04-26 16:08:28,E60
018-04-26 16:08:28,E41
018-04-26 16:08:29,E45
018-04-26 16:08:29,E48
018-04-26 16:08:29,E55
018-04-26 16:08:29,E42
018-04-26 16:08:29,E49
018-04-26 16:08:29,E46
018-04-26 16:08:29,E47
018-04-26 16:08:29,E44
018-04-26 16:08:29,E56
018-04-26 16:08:29,E57
018-04-26 16:08:29,E58
018-04-26 16:08:29,E59
018-04-26 16:08:29,E42
018-04-26 16:08:29,E60
018-04-26 16:08:29,E41
018-04-26 16:08:30,E45
018-04-26 16:08:30,E48
018-04-26 16:08:30,E55
